The design document is well done with proper visual aids and explains the problem being tackled and the proposed solution very well.,0
The design doc looks complete with all of the necessary details being covered.,0
  They showed all the details which were asked for,0
"Brilliantly written code document consisting of background, problem statement and the implementation plan. ",0
The authors have dine a good job of detailing the issues at hand and their proposed solution. UML diagrams like a flowchart could have been used to further clarify the working of the proposed design.,0
"The design incorporates  all the functionalities that needs to be implemented. No suggestions are required.  

 ",0
The suggested fix would address all the functionalities which is required to be implemented for the problem statement.,0
"  Yes the design include all the required functionalities as their design plan. the problem statement specifies 3 task one is related to the admin panel , and two are related to the instructor panel . in their plan they have specified their approach and which all files need modification",0
"The document outlines all the required functionalities along with the design and implementation plan stated  

 ",0
All the requirements have been covered,0
"Yes, most of the functionality are included. Besides, they also got detailed explanations.",0
Yes. It incorporates all the functionality required by this project.,0
Yes the design doc covers all of the required functionalities.,0
It seems that the design incorporates all of the necessary functionality. It also mentions details of how the team is going to implement said functionality.,0
  Some more specific details could be added,0
"Yes, functionalities mentioned are covered in the doc",0
"Yes, it covers everything.",0
Yes.,0
"Yes, the authors have a great job of including all the needed functionality. ",0
"The team has provided enough explanation about how they are going to work on this project. Overall quality of explanation is good.  

Suggestion: Include the purpose of implementing these functions/changes.",0
The team has proposed reasonable changes to address the problem statement in detail. The explanation justifies every change they have suggested.,0
  The changes that the author has proposed is quite inclined with the task that are expected to be completed. the author explains the the changes properly by mentioning the files that needs to updated along with the screenshots of the flow.,0
"The explanation is clear to follow but it could also include some more of the abstract design like UML diagrams, explanation of the use cases etc. ",0
Looks like the team spent some time looking at the code and coming up with the solution. Good Job,0
Their explanation is adequate and easy to understand.,0
"The authors have given adequate explanation in terms of the following what is existing currently, what needs to be changed. The have also explained with a diagram the exact place where they would be adding elements to the UI. Also the files required to be changed are also mentioned. ",0
  The suggested changes seem to be appropriate. Explanation was also easy to follow.,0
The overall quality of explanations is very detailed and good. I might even take few ideas from here to improve my own design doc.,0
  They have explained adequately,0
"Yes very well done in explanation of changes and what needs to be done.

Screen shots are helpful. good work ",0
Comprehensive.,0
"Detailed implementation plan provided, including which files they expect to change and what the output should look like",0
The authors have done a pretty good job with explaining the proposed design. They have used wire frames to show us exactly where the changes are to be made. Adding a flow chart would make things much clearer.,0
The design  seems to be precise. The description of the changes are provided in detail. Team has clearly mentioned about the approach that they will use.  Enough efforts have been taken by the team to convey what is to be done and how the team will do it. ,0
"  As the project is more of adding features to the user interface of the website , the design plan is covering all the necessary steps that needs to be implemented",0
"The code design appears to be sound. The UI implementation as shown on the screenshot  looks intuitive. However, the final implementation is necessary to say definitively that the code is not smelly ",0
"Design is good, there might be some changes when they start implementing it but its a good starting point.",0
The design appear to be good. Specific gems are also mentioned eg: paginate that would divide the document into discrete pages.,0
The design changes as described seem sound.,0
I don't see any trace of smells or redundancy in the proposed solution.,0
"The design seems to be sound. I would like more details on the database of the Bacui projects seeing as most of us don't know what they look like given that most of us have worked on Expertiza projects. So, a short description of the different tables the project is going to interact with along with any and all modifications would really help understand IF there will be any possibility that the design would turn out to be non-DRY or smelly.I think the team is good on what gems are to be used.",0
